URL,Local Title,Local Title Length,Live Title,Live Title Length,Title Match,Local Description,Local Desc Length,Live Description,Live Desc Length,Desc Match,Local Canonical,Live Canonical,Local og:title,Live og:title,Local og:description,Live og:description,Local og:image,Live og:image,Local og:type,Live og:type,Local og:url,Live og:url,Local twitter:card,Live twitter:card,Local twitter:image,Live twitter:image,Local H1 Count,Live H1 Count,Local H1s,Live H1s,Local robots,Live robots,Issues
/,ESPHome - ESPHome - Smart Home Made Simple,42,ESPHome - Smart Home Made Simple,32,No,"Smart Home Made Simple. ESPHome turns ESP32, ESP8266, and RP2040 microcontrollers into fully-featured smart home devices.",121,"ESPHome - Smart Home Made Simple. ESPHome turns ESP32, ESP8266, and RP2040 microcontrollers into fully-featured smart home devices.",131,No,https://esphome.io/,,ESPHome,ESPHome - Smart Home Made Simple,"Smart Home Made Simple. ESPHome turns ESP32, ESP8266, and RP2040 microcontrollers into fully-featured smart home devices.","ESPHome - Smart Home Made Simple. ESPHome turns ESP32, ESP8266, and RP2040 microcontrollers into fully-featured smart home devices.",https://esphome.io/images/logo.svg,https://esphome.io/images/logo.svg,article,website,https://esphome.io/,https://esphome.io/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/logo.svg,1,1,ESPHome,Smart Home Made Simple,,,
/web-api/,Web Server API - ESPHome - Smart Home Made Simple,49,Web Server API - ESPHome - Smart Home Made Simple,49,Yes,"Information on Web Server APIs, including Event Source APIs and REST APIs.",74,"Information on Web Server APIs, including Event Source APIs and REST APIs.",74,Yes,https://esphome.io/web-api/,,Web Server API,Web Server API,"Information on Web Server APIs, including Event Source APIs and REST APIs.","Information on Web Server APIs, including Event Source APIs and REST APIs.",https://esphome.io/images/logo.svg,https://esphome.io/images/logo-text.svg,article,website,https://esphome.io/web-api/,https://esphome.io/web-api/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/logo-text.svg,1,1,Web Server API,Web Server API,,,
/projects/,Ready-Made Projects - ESPHome - Smart Home Made Simple,54,Ready-Made Projects - ESPHome - Smart Home Made Simple,54,Yes,Install ready-made projects directly on your device.,52,Install ready-made projects directly on your device.,52,Yes,https://esphome.io/projects/,,Ready-Made Projects,Ready-Made Projects,Install ready-made projects directly on your device.,Install ready-made projects directly on your device.,https://esphome.io/images/logo.svg,https://esphome.io/images/auto-fix.svg,article,website,https://esphome.io/projects/,https://esphome.io/projects/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/auto-fix.svg,1,1,Ready-Made Projects,Ready-Made Projects,,,
/guides/,Guides - ESPHome - Smart Home Made Simple,41,Guides - ESPHome - Smart Home Made Simple,41,Yes,Guides,6,,,No,https://esphome.io/guides/,,Guides,Guides,Guides,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/,https://esphome.io/guides/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Guides,Guides,,,Desc short
/guides/yaml/,YAML Configuration in ESPHome - ESPHome - Smart Home Made Simple,64,YAML Configuration in ESPHome - ESPHome - Smart Home Made Simple,64,Yes,YAML Configuration in ESPHome,29,,,No,https://esphome.io/guides/yaml/,,YAML Configuration in ESPHome,YAML Configuration in ESPHome,YAML Configuration in ESPHome,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/yaml/,https://esphome.io/guides/yaml/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,YAML Configuration in ESPHome,YAML Configuration in ESPHome,,,Title too long; Desc short
/guides/troubleshooting/,Troubleshooting - ESPHome - Smart Home Made Simple,50,Troubleshooting - ESPHome - Smart Home Made Simple,50,Yes,"Guide for troubleshooting ESPHome issues, debugging crashes, and obtaining decoded stack traces from device failures.",117,"Guide for troubleshooting ESPHome issues, debugging crashes, and obtaining decoded stack traces from device failures.",117,Yes,https://esphome.io/guides/troubleshooting/,,Troubleshooting,Troubleshooting,"Guide for troubleshooting ESPHome issues, debugging crashes, and obtaining decoded stack traces from device failures.","Guide for troubleshooting ESPHome issues, debugging crashes, and obtaining decoded stack traces from device failures.",https://esphome.io/images/logo.svg,https://esphome.io/images/bug-report.svg,article,website,https://esphome.io/guides/troubleshooting/,https://esphome.io/guides/troubleshooting/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/bug-report.svg,1,1,Troubleshooting,Troubleshooting,,,
/guides/supporters/,Contributors - ESPHome - Smart Home Made Simple,47,Contributors - ESPHome - Smart Home Made Simple,47,Yes,Contributors,12,,,No,https://esphome.io/guides/supporters/,,Contributors,Contributors,Contributors,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/supporters/,https://esphome.io/guides/supporters/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,,Contributors,,,,Desc short
/guides/setting_up_rmt_devices/,Setting up RMT Devices - ESPHome - Smart Home Made Simple,57,Setting up RMT Devices - ESPHome - Smart Home Made Simple,57,Yes,Set up guide for configuring IR and RF devices in ESPHome.,58,Set up guide for configuring IR and RF devices in ESPHome.,58,Yes,https://esphome.io/guides/setting_up_rmt_devices/,,Setting up RMT Devices,Setting up RMT Devices,Set up guide for configuring IR and RF devices in ESPHome.,Set up guide for configuring IR and RF devices in ESPHome.,https://esphome.io/images/logo.svg,https://esphome.io/images/remote.svg,article,website,https://esphome.io/guides/setting_up_rmt_devices/,https://esphome.io/guides/setting_up_rmt_devices/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/images/remote.svg,1,1,Setting up RMT Devices,Setting up RMT Devices,,,
/guides/security_best_practices/,Security Best Practices - ESPHome - Smart Home Made Simple,58,Security Best Practices - ESPHome - Smart Home Made Simple,58,Yes,Security best practices for ESPHome devices and networks.,57,Security best practices for ESPHome devices and networks.,57,Yes,https://esphome.io/guides/security_best_practices/,,Security Best Practices,Security Best Practices,Security best practices for ESPHome devices and networks.,Security best practices for ESPHome devices and networks.,https://esphome.io/images/logo.svg,https://esphome.io/shield-alt.svg,article,website,https://esphome.io/guides/security_best_practices/,https://esphome.io/guides/security_best_practices/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,https://esphome.io/shield-alt.svg,1,1,Security Best Practices,Security Best Practices,,,
/guides/physical_device_connection/,Physically Connecting to your Device - ESPHome - Smart Home Made Simple,71,Physically Connecting to your Device - ESPHome - Smart Home Made Simple,71,Yes,Physically Connecting to your Device,36,,,No,https://esphome.io/guides/physical_device_connection/,,Physically Connecting to your Device,Physically Connecting to your Device,Physically Connecting to your Device,,https://esphome.io/images/logo.svg,,article,website,https://esphome.io/guides/physical_device_connection/,https://esphome.io/guides/physical_device_connection/,summary_large_image,summary_large_image,https://esphome.io/images/logo.svg,,1,1,Physically Connecting to your Device,Physically Connecting to your Device,,,Title too long; Desc short
